trial,value,state,lr,weight_decay,image_dim,patch_size,num_block1,num_block2,num_block3,num_block4,expansion_ratio,dim1,linear_dim,accuracy,g_apcer,g_audet,last_epoch,precision,recall,val_loss,freuid
0,0.0006264162970121001,TrialState.COMPLETE,0.0009571602506980286,0.08998504424401237,304,6,5,3,9,6,4,108,256,0.9975000023841858,0.9988344988344988,0.9999132507889075,15.0,0.9953380227088928,0.9988304376602173,0.01688442195839457,
1,0.0002628681621739126,TrialState.COMPLETE,0.0001693416393965845,0.08480410716103433,256,6,5,4,9,3,4,96,256,0.9980000257492065,1.0,0.999474401838675,15.0,0.997668981552124,0.997668981552124,0.01479335602334686,
2,0.0006152021692749088,TrialState.COMPLETE,0.00013850448506350102,0.06345604578890288,256,4,4,3,9,5,4,108,512,0.9959999918937683,0.9988344988344988,0.9999357035258961,15.0,0.9930070042610168,0.9976580739021301,0.01853099810114145,
3,7.093526876056355e-05,TrialState.COMPLETE,0.00036650198092102993,0.05431153106768132,336,4,4,3,12,6,2,108,256,0.9975000023841858,1.0,0.9998581395253898,15.0,0.9953380227088928,0.9988304376602173,0.017942238862389104,
4,9.44044444584069e-06,TrialState.COMPLETE,0.0009065619261059559,0.011744660394974717,288,6,3,4,12,6,4,96,256,0.9980000257492065,1.0,0.9999811192893505,15.0,0.997668981552124,0.997668981552124,0.012121964168741783,
5,0.0012269384824015184,TrialState.PRUNED,0.0002807131608442164,0.016023405080940696,336,6,2,3,12,4,2,84,512,0.996999979019165,0.9976689976689976,0.9998795716834246,9.0,0.9941725134849548,0.9988290667533875,0.014415748415558483,0.0012269384824015184
6,0.0002526571106133968,TrialState.COMPLETE,0.0005455108336628459,0.01416743279765287,416,4,5,4,11,4,2,96,768,0.9990000128746033,1.0,0.9994948134177556,15.0,0.998834490776062,0.998834490776062,0.014436733207244146,
7,5.102897373543414e-07,TrialState.COMPLETE,0.00023112110639679232,0.05046057761210778,352,4,4,2,9,3,4,108,512,0.9990000128746033,1.0,0.9999989794210459,15.0,1.0,0.9976744055747986,0.0022963107296618546,
8,0.007330646884170622,TrialState.PRUNED,0.00012707583153597965,0.025613570353886582,384,6,2,5,11,6,4,84,768,0.9879999756813049,0.9871794871794872,0.9982206205936504,5.0,0.9918414950370789,0.9804147481918335,0.0514070903591346,0.007330646884170622
9,0.0015872999278844224,TrialState.PRUNED,0.00011482724283313281,0.01937014116501871,512,6,3,2,11,3,4,84,256,0.9965000152587891,0.9976689976689976,0.999157512073449,9.0,0.996503472328186,0.9953434467315674,0.01995238507151953,0.0015872999278844224
10,0.11115170394612961,TrialState.PRUNED,0.00021388397507520328,0.03474411969792668,480,4,3,2,10,4,2,108,512,0.9139999747276306,0.8193473193473193,0.9712329410227833,5.0,0.8006992936134338,0.9985465407371521,0.2187488805502653,0.11115170394612961
11,0.00013728671437163165,TrialState.PRUNED,0.0008386921593725216,0.010262538570947062,384,4,3,5,10,5,4,96,512,0.9980000257492065,1.0,0.9997254642613662,9.0,0.997668981552124,0.997668981552124,0.010927866887413984,0.00013728671437163165
12,0.006001551000372807,TrialState.PRUNED,0.0005632326198975552,0.03788534473613211,304,6,4,4,10,5,4,96,256,0.9925000071525574,0.9895104895104895,0.9985273045693361,5.0,0.9871794581413269,0.9952996373176575,0.04985967843595063,0.006001551000372807
13,0.0006315137110901592,TrialState.PRUNED,0.0004179830704925157,0.010766074095591188,224,4,3,2,12,3,4,108,512,0.9984999895095825,0.9988344988344988,0.9999030449993672,9.0,0.998834490776062,0.9976717233657837,0.010929356993869987,0.0006315137110901592
14,,TrialState.RUNNING,0.0007139426707856081,0.02789507403945132,400,6,4,5,10,5,4,96,768,,,,,,,,
